id,pattern_file,s11_file,substrate_thickness,substrate_permittivity,patch_width,patch_length,feed_position,bending_radius,gain,sar,efficiency,ism_band
0,pattern_0000.h5,s11_0000.csv,0.7069096347291408,2.7171024469590157,42.78154995863398,49.77570830486384,7.9456945139617305,21.07139724182938,3.426869963995534,0.7668023238645879,58.25863266588403,2.4GHz
1,pattern_0001.h5,s11_0001.csv,2.0786815320147065,1.9915068394697446,30.241021967914474,36.59396753781807,14.472761979499474,26.181593545121867,3.9031024736129436,0.5949322838961829,57.046814847812726,2.4GHz
2,pattern_0002.h5,s11_0002.csv,2.715987629590594,3.1681419840314975,42.31819506240937,34.56310810335539,13.122322175047259,12.10653896399095,3.940729824648528,0.5,71.43803467381609,2.4GHz
3,pattern_0003.h5,s11_0003.csv,1.3399430216448605,3.2373779144099135,39.64751614016074,48.64764430410724,12.26054947836195,10.35853820772928,2.5622908560302777,0.71747634586288,62.85787836083278,2.4GHz
4,pattern_0004.h5,s11_0004.csv,0.5332526491416901,2.2283894086398623,41.954538378167804,36.31589516253216,14.055919363589537,17.42931248361565,4.467637943034854,0.957178028160155,79.31924177104742,2.4GHz
5,pattern_0005.h5,s11_0005.csv,2.7809053892313433,2.4479367573026307,43.307296999132696,49.01700367618631,12.679560191346155,16.951341939738768,3.8710723931548725,0.5,69.71689374901004,2.4GHz
6,pattern_0006.h5,s11_0006.csv,2.9333944467771134,1.6055383169442852,40.64520781449628,35.61607669859526,11.614512547976329,25.079186939501977,3.2862838003683366,0.5,56.60216850333626,2.4GHz
7,pattern_0007.h5,s11_0007.csv,1.4169046186995495,2.0191876850185944,32.98055296009412,37.31623951962285,6.779976192161174,22.714156694507565,4.1364776056725265,0.8040652951235991,64.96184560661524,2.4GHz
8,pattern_0008.h5,s11_0008.csv,1.6274459464581197,3.1507749902955275,37.90536945434524,45.92060448580643,12.92099856251527,19.009349665494376,3.4039301244047864,0.7620399566086472,61.89781777992778,2.4GHz
9,pattern_0009.h5,s11_0009.csv,2.1752177433372366,2.0188416745361337,39.70028087992856,44.000997613026314,13.217200988045345,12.445420203886355,4.571369237503619,0.5055442049845968,77.33125831822623,2.4GHz
10,pattern_0010.h5,s11_0010.csv,2.1654445148100305,2.6638303252804416,33.35552691494997,41.88160655842418,13.167285672247127,23.64422305628869,4.032736543828892,0.5420675923275845,66.05279466480935,2.4GHz
11,pattern_0011.h5,s11_0011.csv,2.98040033098715,2.3253069655751206,48.210461961649756,48.266809498218976,10.73847347332825,23.16836204435461,4.236632028389037,0.5,67.88313989344125,2.4GHz
12,pattern_0012.h5,s11_0012.csv,2.525154399434645,2.413001744412373,48.141664693804465,36.383219630533254,6.61588664318937,9.823561502203141,4.335219856281223,0.5,66.88328030840471,2.4GHz
13,pattern_0013.h5,s11_0013.csv,1.8744436523483698,2.4817348628209857,32.628597894627454,47.31111586207355,9.851357132578867,12.366024712737362,3.7940031796677878,0.5,58.38362489048227,2.4GHz
14,pattern_0014.h5,s11_0014.csv,0.9054784943173315,1.8872325814584938,44.16642932530191,45.777461730575276,6.640740784030975,10.531525363199538,4.737618313962903,0.9158411344011244,71.18090684896195,2.4GHz
15,pattern_0015.h5,s11_0015.csv,0.6958147728686466,3.873876996999713,43.36362705524341,48.028495760972454,8.432481374243991,9.0452038269053,2.848278738300704,1.0892982905927309,60.16006823676889,2.4GHz
16,pattern_0016.h5,s11_0016.csv,2.779024034540806,2.5892883068262775,31.31409706337835,33.782358148184834,9.426206664312032,9.488334384393239,4.252072583084704,0.5,71.75062033255752,2.4GHz
17,pattern_0017.h5,s11_0017.csv,2.7966075585658667,3.3809980250136653,42.15385495046286,45.362353490723336,9.393955048142754,18.50739368735501,3.354585979618483,0.5,69.31015495361127,2.4GHz
18,pattern_0018.h5,s11_0018.csv,2.203882612675068,2.8818970524882053,44.734540180603666,37.198272810092206,5.643898916399834,15.658378500281195,4.630508151972361,0.6322420795611124,74.62945648712949,2.4GHz
19,pattern_0019.h5,s11_0019.csv,1.0657675466350323,2.7428048802311107,34.424006237528445,30.407697464263602,11.35039311015978,14.136507329341589,3.6022414549058137,0.979984948438297,56.779160309703485,2.4GHz
20,pattern_0020.h5,s11_0020.csv,2.55155239271496,3.8512684786591316,45.7795986785093,46.04662790453288,14.935149429814503,10.849871527218495,3.4017134064677403,0.5,64.40748691806364,2.4GHz
21,pattern_0021.h5,s11_0021.csv,2.163889416678762,3.086961776625306,37.86125901367538,34.57679369968665,12.504417716073155,8.974230617690841,4.176299657064993,0.5,65.90224182165429,2.4GHz
22,pattern_0022.h5,s11_0022.csv,1.8345819239551029,2.097445247204657,31.507372702145005,41.66024015831728,9.279640272616671,22.040067073501362,4.718787827719669,0.5,84.97634917321065,2.4GHz
23,pattern_0023.h5,s11_0023.csv,1.9938921863566825,2.460883154564687,33.38613717802522,43.89915144099817,10.95017840468443,23.862441849276998,4.729895338075767,0.5411597695665575,69.61044688268596,2.4GHz
24,pattern_0024.h5,s11_0024.csv,1.694080472755008,3.3751157943738885,35.509043634731924,39.07915297463531,10.76833373181942,26.136280720830975,4.049668767943368,0.6717751641669857,70.4773369033556,2.4GHz
25,pattern_0025.h5,s11_0025.csv,2.350688310850289,3.641103022336801,32.46841591922026,39.666152131802406,9.23596745103124,28.207795096495147,3.9776491453058385,0.5,68.17128973982328,2.4GHz
26,pattern_0026.h5,s11_0026.csv,0.8387108360832356,3.7728294641703717,33.92442114652682,37.600661470833785,8.162973564170045,10.547004589187587,4.096632072002411,1.0522410605281922,61.323349075247386,2.4GHz
27,pattern_0027.h5,s11_0027.csv,2.49077401806951,2.7625196367039075,31.763502112320715,31.73148778345612,10.873840489521212,29.89645827535672,4.133865964501293,0.5,72.61311260557797,2.4GHz
28,pattern_0028.h5,s11_0028.csv,2.6248946956545693,2.8835944731633916,37.73379989264097,38.27064013209646,12.973851254683716,29.769085027509714,4.831752132132148,0.5,75.9943992571878,2.4GHz
29,pattern_0029.h5,s11_0029.csv,1.1348208945900597,4.273359813274964,43.76863100058215,42.54426410123168,12.469513410417555,20.48997696702004,2.5458406153131143,0.7468971655730452,55.93365754235853,2.4GHz
30,pattern_0030.h5,s11_0030.csv,2.4653642604552335,4.175458110385057,32.80310323694549,37.442391705997075,14.0486421661922,16.467154978659263,4.422154575640341,0.5,69.82062645191026,2.4GHz
31,pattern_0031.h5,s11_0031.csv,2.752227010990275,1.9483581439914461,38.65498547670568,46.02387746503113,11.620675975414711,29.786170013425423,4.914097052641794,0.5,65.23560995671329,2.4GHz
32,pattern_0032.h5,s11_0032.csv,0.5871789397284523,1.782321103769445,39.16156242584814,43.64218929840483,13.397071029463817,9.635525599053251,4.392988067351553,1.0086856765170311,60.51334054001201,2.4GHz
33,pattern_0033.h5,s11_0033.csv,0.613591946655405,4.472358422679753,44.471780745650236,35.101029621890184,5.408828433799737,12.420272788692973,3.9791538691375252,0.8729110537019893,57.449332426896866,2.4GHz
34,pattern_0034.h5,s11_0034.csv,2.0478522057800537,2.2474256642781594,43.43866370815443,38.64648969080983,12.833818458366576,9.771258741628582,4.5155561287417045,0.5,63.291711513265824,2.4GHz
35,pattern_0035.h5,s11_0035.csv,2.037842442834076,2.0483412076146466,39.82118317031508,38.00054887725584,12.668707243267006,16.421022889897856,4.199743199997867,0.5,65.17203007140131,2.4GHz
36,pattern_0036.h5,s11_0036.csv,1.6466215689027672,3.3897337751689642,43.194666657109615,47.36873490507405,13.81818347337547,25.10704095877527,3.932664053806921,0.5,57.48312458168233,2.4GHz
37,pattern_0037.h5,s11_0037.csv,1.0943877266699273,2.0015988645324834,43.72114626609952,46.801262570742196,8.061554358043947,9.969717922027584,3.6224995814742873,0.7415015870961141,66.22914192981499,2.4GHz
38,pattern_0038.h5,s11_0038.csv,1.8317507591981514,3.362996266318518,33.55075329662872,32.9050190522983,13.47744493384752,15.634048522736386,4.009458644035698,0.7035200757635742,73.08442688427756,2.4GHz
39,pattern_0039.h5,s11_0039.csv,1.9920942183276003,1.8359204813985364,31.895253538240283,40.198796252164314,7.994003041092391,24.370037308695967,4.371598696558568,0.6753418947281838,73.45853455845878,2.4GHz
40,pattern_0040.h5,s11_0040.csv,1.1697540147067025,2.6205992437095205,38.156557295281715,34.88920500001705,7.858837932022501,25.304175452514645,4.618209593304298,0.6182244718497828,69.03060728187927,2.4GHz
41,pattern_0041.h5,s11_0041.csv,1.6934809675454279,2.4160339290774258,33.62019751004096,49.24690637284383,6.410107073089259,19.58297157162557,3.6797855554021077,0.5492934333319542,63.26463815090693,2.4GHz
42,pattern_0042.h5,s11_0042.csv,2.052384964606886,3.4471705596606177,39.87421789890858,43.25785902892284,9.842923790269863,23.315426789362306,3.99206816142629,0.5,65.41484177159242,2.4GHz
43,pattern_0043.h5,s11_0043.csv,0.7679200479705701,3.3337212885101257,36.062139031558445,35.826928917994785,10.887933334890521,18.682892330221605,4.517114315715567,0.7333330256438787,72.74474451076601,2.4GHz
44,pattern_0044.h5,s11_0044.csv,2.7284074741438262,4.156429397893637,39.39206221248841,43.7430424501735,9.395083508495585,10.890714859856615,3.648333207048722,0.5,66.76725393387399,2.4GHz
45,pattern_0045.h5,s11_0045.csv,2.138643666248173,3.646374398622698,38.60503009644248,31.89577093962779,6.224792627303747,11.426370747196742,4.082691925689654,0.5,80.76312491609946,2.4GHz
46,pattern_0046.h5,s11_0046.csv,2.469216341250121,3.4070673883832328,42.99485168451129,32.65748281201159,12.168304824314673,6.840262995263362,3.714579738290483,0.5,76.69683956798502,2.4GHz
47,pattern_0047.h5,s11_0047.csv,2.7810076606379885,4.447233473893455,46.786150492908575,44.280595703029746,13.884935299241786,18.24323815431495,3.2211022972729753,0.5,56.27058357416796,2.4GHz
48,pattern_0048.h5,s11_0048.csv,2.921141294721352,1.5994191109309275,36.23839239664909,41.095248683612255,9.644320771962118,14.209029481299828,3.9776200578089287,0.5,65.52633384403853,2.4GHz
49,pattern_0049.h5,s11_0049.csv,1.0200765274892272,3.0043080473033243,45.657371470090155,49.135103233939674,11.055335334131277,26.819195030349885,3.56855402651873,1.0255236328065458,61.66199010846669,2.4GHz
